Car VIN          ,Type of Car,# of seats,Avg. distance of rides,Avg. # of customers per day,Avg. Price per minute,Date      ,Time ,Location lonitude (current),Location latitude (current),Tank Filling (current)
JH4CL96855C865704,Car2Go     ,4         ,69km                  ,24                         ,84�                  ,11.4.2018 ,2.33 ,11.63653566                ,48.3245973                 ,87%
JN1BJ0HP3FM874936,Drive Now  ,2         ,18km                  ,26                         ,84�                  ,26.11.2017,11.53,11.66045954                ,48.19101759                ,31%
WBAWV13537P664672,Car2Go     ,4         ,86km                  ,29                         ,49�                  ,1.12.2019 ,11.59,11.56927757                ,48.375399                  ,41%
WBAWL73549P160059,Drive Now  ,5         ,77km                  ,7                          ,30�                  ,26.11.2019,3.44 ,11.47623483                ,48.9680930                 ,29%
1N4AL2AP6AN404885,Drive Now  ,3         ,21km                  ,25                         ,77�                  ,17.4.2017 ,6.48 ,11.49165001                ,48.26846265                ,75%
WAUBF98E67A722280,Drive Now  ,5         ,16km                  ,3                          ,84�                  ,28.4.2017 ,22.18,11.59079551                ,48.14495213                ,55%
2FMPK3K99FB763401,Car2Go     ,5         ,22km                  ,22                         ,89�                  ,30.11.2017,23.31,11.42096888                ,48.6823807                 ,11%
TRURD38J981598482,Drive Now  ,3         ,44km                  ,15                         ,27�                  ,12.6.2019 ,12.32,11.60695705                ,48.16110381                ,22%
4T3BK3BB8FU480604,Drive Now  ,4         ,40km                  ,1                          ,33�                  ,10.10.2018,2.17 ,11.47538747                ,48.8844310                 ,35%
4JGBF2FE5AA293309,Drive Now  ,2         ,9km                   ,10                         ,82�                  ,19.11.2019,21.55,11.69542722                ,48.17839482                ,73%
1GYS4JEF6BR608940,Drive Now  ,5         ,78km                  ,24                         ,37�                  ,29.9.2018 ,8.49 ,11.79651324                ,48.15020879                ,21%
5UXZV4C59DL261833,Drive Now  ,5         ,61km                  ,13                         ,92�                  ,3.7.2019  ,22.13,11.12414777                ,48.25639327                ,52%
5TDBK3EH5DS143158,Drive Now  ,5         ,44km                  ,23                         ,42�                  ,16.11.2018,16.40,11.76258596                ,48.399118                  ,13%
YV140MEA2F1505755,Drive Now  ,4         ,68km                  ,10                         ,26�                  ,14.1.2017 ,16.35,11.77181805                ,48.2063206                 ,23%
WAUKF78EX5A767482,Drive Now  ,3         ,27km                  ,2                          ,31�                  ,27.2.2019 ,0.51 ,11.76607012                ,48.7146129                 ,78%
5UXFG2C59DL186939,Car2Go     ,2         ,24km                  ,5                          ,55�                  ,3.1.2018  ,4.52 ,11.12788634                ,48.17937563                ,20%
WBADN53461G069358,Car2Go     ,2         ,4km                   ,1                          ,75�                  ,1.3.2018  ,18.35,11.57300739                ,48.2440322                 ,26%
1C4SDHCT4CC969529,Drive Now  ,5         ,69km                  ,22                         ,74�                  ,2.8.2018  ,15.12,11.13942004                ,48.27182758                ,44%
3D7TP2CT1AG152902,Drive Now  ,3         ,56km                  ,6                          ,95�                  ,24.10.2019,6.51 ,11.54811158                ,48.9947898                 ,15%
WBAFA53501L391580,Car2Go     ,2         ,12km                  ,19                         ,66�                  ,8.5.2019  ,4.49 ,11.67993964                ,48.12997338                ,67%
WAUMF78KX9N503854,Drive Now  ,2         ,74km                  ,24                         ,55�                  ,21.8.2018 ,21.28,11.32253667                ,48.22449946                ,21%
2LMHJ5ATXEB103308,Car2Go     ,2         ,35km                  ,5                          ,56�                  ,30.6.2018 ,2.31 ,11.47568739                ,48.26281474                ,82%
WAUSF78K29N080856,Car2Go     ,3         ,9km                   ,1                          ,86�                  ,20.10.2018,16.7 ,11.80439103                ,48.18297122                ,27%
3GYFNEE33CS059689,Car2Go     ,2         ,70km                  ,7                          ,39�                  ,4.9.2019  ,9.22 ,11.43065339                ,48.12077469                ,38%
1D7RV1GT9BS648397,Drive Now  ,4         ,32km                  ,12                         ,39�                  ,28.10.2019,7.27 ,11.42310555                ,48.20588420                ,7%
5FRYD3H25GB791375,Car2Go     ,5         ,25km                  ,9                          ,98�                  ,29.2.2017 ,12.43,11.64881385                ,48.17017508                ,8%
1G6DW67V080886629,Drive Now  ,4         ,25km                  ,20                         ,58�                  ,27.4.2019 ,7.48 ,11.67615068                ,48.22472313                ,63%
5J6TF2H53FL760643,Drive Now  ,2         ,40km                  ,28                         ,43�                  ,21.3.2018 ,8.18 ,11.38273256                ,48.10080946                ,52%
JTDZN3EU1EJ558169,Car2Go     ,2         ,8km                   ,5                          ,56�                  ,26.3.2017 ,2.10 ,11.67441338                ,48.10450961                ,96%
3C63DPJLXCG639366,Drive Now  ,5         ,73km                  ,15                         ,40�                  ,7.9.2018  ,3.2  ,11.22337081                ,48.26473944                ,64%
1N6AA0EC6FN691967,Drive Now  ,4         ,30km                  ,24                         ,72�                  ,29.5.2017 ,9.46 ,11.46747646                ,48.22664844                ,51%
1D7RW5GK0BS970681,Drive Now  ,4         ,8km                   ,7                          ,63�                  ,27.6.2019 ,23.44,11.48838293                ,48.235150                  ,22%
1G6AM5S34F0910615,Car2Go     ,2         ,35km                  ,7                          ,99�                  ,28.1.2019 ,16.47,11.73818883                ,48.24152588                ,83%
1C3BCBGG5CN775002,Drive Now  ,4         ,53km                  ,7                          ,71�                  ,5.8.2017  ,0.4  ,11.46881984                ,48.14067158                ,64%
SCFFDCCD9AG259689,Drive Now  ,2         ,28km                  ,4                          ,70�                  ,19.11.2019,18.41,11.12906030                ,48.11189018                ,33%
5J8TB18249A431940,Car2Go     ,5         ,60km                  ,16                         ,74�                  ,22.10.2018,2.11 ,11.78515840                ,48.9304982                 ,50%
WAUWFBFL7BA286526,Drive Now  ,3         ,44km                  ,7                          ,58�                  ,9.4.2017  ,3.38 ,11.41155714                ,48.5629132                 ,35%
WBA3R1C53EK295426,Drive Now  ,2         ,40km                  ,26                         ,55�                  ,27.3.2019 ,21.58,11.49384107                ,48.26981170                ,11%
WBAXH5C55DD159264,Drive Now  ,2         ,44km                  ,1                          ,58�                  ,7.9.2018  ,1.12 ,11.31806422                ,48.28155863                ,32%
1C4AJWAG5FL474906,Car2Go     ,5         ,38km                  ,28                         ,57�                  ,15.9.2017 ,20.45,11.55792560                ,48.16993671                ,69%
WBADT43462G257654,Car2Go     ,3         ,38km                  ,7                          ,32�                  ,13.11.2017,5.57 ,11.43191946                ,48.19701749                ,46%
1FTEX1E84AF035142,Drive Now  ,5         ,70km                  ,8                          ,71�                  ,5.3.2018  ,1.26 ,11.31428803                ,48.27348298                ,28%
1N6AA0CH7DN305486,Car2Go     ,3         ,17km                  ,21                         ,60�                  ,8.3.2019  ,1.17 ,11.30867169                ,48.13742942                ,81%
1G6DM8EV0A0619601,Car2Go     ,2         ,70km                  ,19                         ,92�                  ,1.1.2018  ,18.22,11.65032410                ,48.27153869                ,20%
WAUXG94F69N010512,Car2Go     ,5         ,39km                  ,4                          ,35�                  ,3.4.2019  ,12.56,11.81192320                ,48.18806435                ,33%
1D7CW2BK2AS710163,Drive Now  ,5         ,63km                  ,17                         ,67�                  ,9.10.2018 ,21.52,11.32228290                ,48.17866298                ,40%
JN1AZ4EHXFM325856,Drive Now  ,3         ,3km                   ,23                         ,88�                  ,11.1.2017 ,20.53,11.75806511                ,48.16189023                ,80%
1YVHZ8BH3A5562421,Car2Go     ,2         ,15km                  ,0                          ,30�                  ,20.12.2018,2.48 ,11.17819923                ,48.9328267                 ,68%
JTDKDTB38C1934041,Car2Go     ,4         ,60km                  ,20                         ,29�                  ,9.6.2017  ,7.17 ,11.16796260                ,48.6019337                 ,54%
SCBLC37F96C279636,Drive Now  ,2         ,65km                  ,28                         ,31�                  ,1.3.2019  ,17.56,11.8881207                 ,48.25603290                ,13%
SCBLC37F94C301972,Car2Go     ,3         ,74km                  ,16                         ,38�                  ,6.10.2018 ,3.51 ,11.11564825                ,48.3355674                 ,22%
1N6AA0EJ7FN591679,Drive Now  ,4         ,13km                  ,27                         ,26�                  ,15.10.2017,3.4  ,11.37770230                ,48.1787242                 ,50%
WAUHF78P97A150508,Car2Go     ,3         ,35km                  ,14                         ,42�                  ,17.9.2017 ,9.1  ,11.57201136                ,48.7019904                 ,75%
1FTSW2A55AE625606,Drive Now  ,3         ,53km                  ,19                         ,97�                  ,31.8.2018 ,8.51 ,11.27586419                ,48.10632683                ,36%
19UUA86229A349465,Car2Go     ,5         ,60km                  ,0                          ,44�                  ,6.2.2018  ,9.52 ,11.80414533                ,48.14351625                ,48%
WBAVD33566K618534,Car2Go     ,3         ,90km                  ,27                         ,27�                  ,15.8.2018 ,7.27 ,11.50914927                ,48.17683895                ,20%
WBADN53492G207928,Drive Now  ,5         ,88km                  ,26                         ,90�                  ,29.5.2018 ,23.1 ,11.15439918                ,48.14121872                ,69%
19XFA1E31BE385255,Car2Go     ,3         ,74km                  ,23                         ,94�                  ,8.2.2018  ,18.27,11.22413047                ,48.17851581                ,75%
WBAEU33495P877334,Car2Go     ,2         ,33km                  ,9                          ,34�                  ,21.11.2017,5.24 ,11.7350864                 ,48.11435034                ,65%
WBSDX9C55BE048648,Drive Now  ,5         ,15km                  ,28                         ,68�                  ,21.5.2019 ,16.29,11.47909694                ,48.2417012                 ,70%
3N1CE2CP3EL117801,Car2Go     ,5         ,52km                  ,28                         ,83�                  ,7.10.2018 ,17.45,11.37009543                ,48.10469378                ,38%
WA1GFCFS7FR688097,Drive Now  ,5         ,90km                  ,26                         ,68�                  ,9.11.2018 ,11.52,11.70432592                ,48.6457738                 ,83%
19XFB2E51DE342963,Car2Go     ,2         ,84km                  ,29                         ,49�                  ,20.8.2018 ,1.0  ,11.55377131                ,48.15469088                ,44%
5J8TB1H57CA079227,Car2Go     ,4         ,67km                  ,13                         ,37�                  ,15.9.2017 ,14.31,11.55286689                ,48.7033635                 ,84%
JHMZF1C62DS898489,Drive Now  ,2         ,10km                  ,20                         ,77�                  ,21.9.2017 ,7.49 ,11.66707981                ,48.10193307                ,48%
JN8AE2KP4B9964597,Car2Go     ,2         ,57km                  ,24                         ,91�                  ,7.6.2019  ,7.7  ,11.22223229                ,48.10992351                ,89%
3D7LT2ET3AG345836,Car2Go     ,5         ,51km                  ,6                          ,25�                  ,28.12.2017,8.42 ,11.41823065                ,48.18509795                ,29%
2T1BU4EEXDC181872,Car2Go     ,5         ,47km                  ,12                         ,26�                  ,21.12.2017,8.21 ,11.63195500                ,48.26201823                ,73%
3GYEK63N92G858036,Car2Go     ,5         ,36km                  ,22                         ,51�                  ,24.5.2018 ,5.53 ,11.71731958                ,48.6597230                 ,7%
WAUNF78P68A624984,Car2Go     ,2         ,2km                   ,14                         ,59�                  ,17.2.2017 ,18.31,11.80367091                ,48.9389923                 ,55%
WVWAA7AH8AV390347,Car2Go     ,2         ,2km                   ,28                         ,84�                  ,6.5.2019  ,22.20,11.64477687                ,48.4965499                 ,35%
WBSBR93492P009848,Car2Go     ,4         ,2km                   ,8                          ,97�                  ,1.6.2019  ,1.38 ,11.60104340                ,48.3231135                 ,97%
WAULD64B72N245459,Car2Go     ,5         ,12km                  ,27                         ,56�                  ,2.12.2017 ,5.41 ,11.53604493                ,48.12171444                ,93%
1FADP5CU0FL203900,Car2Go     ,5         ,81km                  ,15                         ,31�                  ,31.5.2018 ,4.33 ,11.48923610                ,48.16461014                ,40%
4T3BA3BB3DU749818,Car2Go     ,5         ,81km                  ,0                          ,63�                  ,9.2.2018  ,12.12,11.77035860                ,48.25028767                ,79%
1GYS4DEF8BR908318,Car2Go     ,5         ,33km                  ,8                          ,88�                  ,5.10.2018 ,16.29,11.36039343                ,48.16979707                ,75%
WAUDF78E38A383797,Drive Now  ,3         ,60km                  ,30                         ,84�                  ,25.1.2018 ,21.33,11.38710018                ,48.18627886                ,91%
1FTWX3A5XAE235542,Car2Go     ,3         ,16km                  ,3                          ,27�                  ,21.3.2018 ,5.40 ,11.67859486                ,48.7208790                 ,50%
SCBGC3ZA6EC211098,Car2Go     ,5         ,19km                  ,9                          ,34�                  ,28.5.2019 ,16.27,11.29794020                ,48.21478099                ,54%
JH4CL96814C889724,Car2Go     ,4         ,12km                  ,6                          ,44�                  ,2.7.2017  ,20.16,11.47730408                ,48.479494                  ,95%
1GYFC53229R573934,Drive Now  ,3         ,11km                  ,29                         ,46�                  ,27.9.2018 ,13.29,11.53661710                ,48.24583509                ,22%
1C4RDHEG6FC673706,Drive Now  ,4         ,89km                  ,28                         ,45�                  ,15.7.2017 ,9.27 ,11.55282256                ,48.14668648                ,31%
WA1CGAFE8FD556909,Car2Go     ,5         ,45km                  ,24                         ,81�                  ,3.9.2017  ,10.11,11.27291908                ,48.14168756                ,48%
3N1AB6AP5AL667859,Drive Now  ,5         ,79km                  ,27                         ,35�                  ,17.12.2019,11.14,11.73057680                ,48.14963689                ,38%
JH4CU2F88CC769664,Car2Go     ,2         ,13km                  ,9                          ,93�                  ,31.9.2019 ,13.4 ,11.40394309                ,48.11688290                ,56%
1C3CDZAB3CN465440,Car2Go     ,3         ,61km                  ,4                          ,56�                  ,17.3.2017 ,20.47,11.47258029                ,48.534535                  ,35%
3N1AB6AP3BL845849,Drive Now  ,3         ,41km                  ,22                         ,52�                  ,24.5.2017 ,23.24,11.51822465                ,48.7455587                 ,66%
4F2CY0C70AK815447,Drive Now  ,4         ,55km                  ,10                         ,97�                  ,27.3.2018 ,22.5 ,11.67311581                ,48.15066140                ,74%
1GYS3GEFXDR549870,Car2Go     ,4         ,59km                  ,4                          ,66�                  ,23.3.2018 ,13.40,11.64792092                ,48.256421                  ,96%
1G4GB5GG9AF547917,Drive Now  ,3         ,72km                  ,3                          ,68�                  ,5.5.2019  ,13.58,11.51533801                ,48.10829237                ,76%
WAUHGBFCXDN373631,Car2Go     ,2         ,41km                  ,14                         ,60�                  ,23.7.2019 ,10.44,11.37714504                ,48.19843701                ,95%
WAUHF98P66A826200,Drive Now  ,2         ,74km                  ,21                         ,66�                  ,23.3.2018 ,18.57,11.38655343                ,48.12058366                ,20%
WP0AB2A95FS636501,Drive Now  ,3         ,64km                  ,11                         ,37�                  ,7.12.2018 ,13.2 ,11.21882225                ,48.5535686                 ,21%
WUALNAFG2EN789161,Drive Now  ,5         ,86km                  ,5                          ,33�                  ,20.5.2019 ,16.44,11.55088957                ,48.27303400                ,0%
3VWKX7AJXAM537832,Drive Now  ,3         ,46km                  ,5                          ,43�                  ,3.1.2018  ,7.57 ,11.9356192                 ,48.22167817                ,11%
WVWGD7AJ1EW980748,Drive Now  ,3         ,69km                  ,22                         ,42�                  ,7.2.2019  ,2.17 ,11.49875072                ,48.5119481                 ,49%
5TDBK3EH7CS938758,Car2Go     ,5         ,43km                  ,22                         ,61�                  ,24.1.2017 ,11.45,11.62859021                ,48.9893773                 ,53%
VNKJTUD39FA030356,Drive Now  ,3         ,54km                  ,8                          ,93�                  ,20.3.2019 ,17.13,11.48552807                ,48.4428854                 ,84%
WAULV44E27N051912,Car2Go     ,4         ,89km                  ,13                         ,51�                  ,2.1.2017  ,19.10,11.76451198                ,48.20362447                ,0%
KMHGC4DD5EU788988,Drive Now  ,5         ,5km                   ,24                         ,39�                  ,21.1.2018 ,17.6 ,11.26283116                ,48.17551398                ,49%
JH4CU4F4XCC722791,Drive Now  ,2         ,12km                  ,21                         ,54�                  ,19.5.2019 ,7.7  ,11.14845784                ,48.11194960                ,19%
3C4PDDDG6DT094945,Car2Go     ,2         ,8km                   ,0                          ,57�                  ,10.1.2019 ,0.39 ,11.15652636                ,48.15100701                ,73%
KNDJN2A21E7743752,Car2Go     ,5         ,12km                  ,0                          ,28�                  ,25.8.2019 ,12.43,11.56762461                ,48.2427073                 ,55%
WAUKG98E36A628692,Car2Go     ,4         ,19km                  ,7                          ,69�                  ,17.1.2018 ,8.11 ,11.25908621                ,48.8510862                 ,73%
JN1CV6FE0EM542383,Car2Go     ,5         ,83km                  ,15                         ,73�                  ,26.6.2017 ,12.0 ,11.31277519                ,48.20333707                ,57%
SAJWA4HA0EM103481,Car2Go     ,2         ,23km                  ,11                         ,54�                  ,15.4.2019 ,23.24,11.74206532                ,48.19383103                ,5%
5FNYF3H35FB560821,Car2Go     ,3         ,41km                  ,1                          ,25�                  ,10.11.2017,19.54,11.21975539                ,48.23574181                ,53%
1C3CCBHGXCN173912,Drive Now  ,4         ,11km                  ,9                          ,31�                  ,10.10.2017,17.4 ,11.29879682                ,48.11595699                ,21%
WAUSH78E08A404784,Drive Now  ,5         ,45km                  ,12                         ,71�                  ,17.10.2019,16.36,11.58196930                ,48.21135057                ,72%
JM1NC2LF2D0539766,Drive Now  ,4         ,24km                  ,2                          ,58�                  ,25.8.2018 ,0.5  ,11.67457175                ,48.19087215                ,35%
SALVN2BG8DH465574,Car2Go     ,3         ,69km                  ,0                          ,33�                  ,31.6.2018 ,16.14,11.10933337                ,48.18491977                ,46%
SCBFC7ZA8EC669017,Car2Go     ,5         ,7km                   ,22                         ,71�                  ,5.4.2018  ,18.13,11.30652114                ,48.8806862                 ,76%
1GYUKHEF9AR358728,Car2Go     ,2         ,63km                  ,30                         ,86�                  ,25.4.2019 ,2.0  ,11.8554528                 ,48.9891784                 ,67%
JTHBE5C29A5298121,Drive Now  ,3         ,65km                  ,9                          ,65�                  ,20.1.2017 ,10.58,11.57276280                ,48.7072054                 ,24%
WVWED7AJ1DW867386,Drive Now  ,2         ,67km                  ,1                          ,51�                  ,1.6.2019  ,13.47,11.34714555                ,48.19494828                ,3%
1N6AF0LY3EN701580,Drive Now  ,2         ,51km                  ,14                         ,99�                  ,19.6.2018 ,17.59,11.36808485                ,48.25731625                ,77%
19VDE1F58FE985863,Drive Now  ,2         ,71km                  ,14                         ,51�                  ,3.11.2018 ,11.11,11.64448227                ,48.8776679                 ,39%
3VW117AU6FM449164,Drive Now  ,3         ,60km                  ,1                          ,41�                  ,3.2.2018  ,9.43 ,11.40062256                ,48.6048897                 ,36%
SCBET9ZA6FC790010,Drive Now  ,5         ,32km                  ,5                          ,39�                  ,6.3.2018  ,15.3 ,11.61778835                ,48.5747751                 ,57%
1G6KE54Y54U860775,Drive Now  ,5         ,60km                  ,25                         ,48�                  ,22.7.2017 ,9.26 ,11.62982913                ,48.3270972                 ,60%
1GYS4BKJ7FR145310,Drive Now  ,2         ,24km                  ,25                         ,61�                  ,23.6.2019 ,1.17 ,11.18272580                ,48.1196361                 ,10%
1HGCR6F57FA824932,Car2Go     ,3         ,12km                  ,21                         ,69�                  ,11.8.2018 ,12.13,11.45984066                ,48.8224303                 ,97%
KM8JT3AB7DU525340,Drive Now  ,5         ,78km                  ,2                          ,52�                  ,1.2.2017  ,15.31,11.50608903                ,48.16763211                ,64%
WAUMFAFL0BN649324,Drive Now  ,3         ,18km                  ,18                         ,99�                  ,13.1.2017 ,23.32,11.65221481                ,48.16320273                ,13%
WBA3A9C55DF537291,Drive Now  ,3         ,10km                  ,16                         ,33�                  ,16.8.2018 ,7.21 ,11.66434719                ,48.7058146                 ,82%
JN8AE2KP8F9768104,Car2Go     ,4         ,57km                  ,2                          ,74�                  ,7.7.2019  ,4.53 ,11.47007323                ,48.1064412                 ,17%
WAUGGAFC8CN901137,Drive Now  ,4         ,29km                  ,20                         ,58�                  ,11.5.2017 ,20.48,11.11040415                ,48.5358521                 ,44%
5FRYD3H47GB650227,Drive Now  ,3         ,16km                  ,11                         ,90�                  ,2.8.2018  ,5.11 ,11.57938168                ,48.6734229                 ,18%
KNAFK4A67E5705626,Drive Now  ,3         ,16km                  ,2                          ,89�                  ,9.11.2018 ,3.12 ,11.10571904                ,48.6361397                 ,72%
WAUEH78E28A862033,Drive Now  ,4         ,53km                  ,3                          ,56�                  ,25.8.2019 ,10.26,11.48340437                ,48.27429341                ,10%
WBSDE93412B819623,Drive Now  ,2         ,23km                  ,20                         ,46�                  ,25.6.2017 ,18.4 ,11.48826984                ,48.27240597                ,61%
1G6DU6EA7A0250821,Drive Now  ,2         ,53km                  ,14                         ,87�                  ,30.10.2017,6.57 ,11.36346601                ,48.2774660                 ,100%
KMHEC4A48BA299641,Car2Go     ,2         ,13km                  ,30                         ,37�                  ,7.5.2017  ,3.45 ,11.14120092                ,48.12515997                ,100%
