CarVIN,TypeofCar,#ofseats,Avg.distanceofrides,Avg.#ofcustomersperday,Avg.Priceperminute,Date,Time,Locationlonitude(current),Locationlatitude(current),TankFilling(current)
WBAPH5G5XAN754305,Car2Go,3,88km,13,53€,23.2.2017,3.6,11.69841395,48.10885487,74%
1GT3CZBG3AF842624,DriveNow,2,80km,8,39€,10.3.2018,10.42,11.63784897,48.22827623,83%
WAUDGBFL7CA721065,Car2Go,3,81km,27,35€,10.5.2018,8.5,11.11581305,48.7200789,28%
WAUBH78E48A809773,Car2Go,3,20km,7,46€,13.4.2017,14.40,11.17701747,48.23741418,6%
JN1CV6EK1AM309954,Car2Go,2,27km,2,38€,2.11.2019,1.51,11.29920412,48.1189890,8%
2C4RRGAG6DR721128,DriveNow,2,64km,4,68€,16.12.2018,1.5,11.42925033,48.13571877,61%
1G6DC8E5XC0639781,Car2Go,5,69km,3,81€,4.2.2019,1.43,11.32585268,48.9027478,42%
KL4CJBSB5FB519766,Car2Go,5,13km,9,88€,5.11.2019,19.21,11.26309020,48.11199818,5%
5UXKS4C54F0494632,DriveNow,3,20km,14,67€,24.11.2019,16.31,11.55715267,48.12514178,28%
WA1CM94L19D383585,DriveNow,2,43km,29,29€,27.1.2018,4.52,11.45361134,48.11290017,21%
WAUSH78E68A297241,DriveNow,4,41km,6,42€,7.11.2018,10.47,11.53394782,48.12292196,68%
1G4GD5G37EF462457,DriveNow,2,46km,11,90€,28.10.2019,1.53,11.7064131,48.19953797,82%
WVGAV3AX2DW088325,Car2Go,5,78km,2,73€,24.4.2018,16.5,11.66094429,48.17950655,62%
WP0AA2A97AS103982,Car2Go,2,28km,14,30€,22.10.2019,17.17,11.23136003,48.10613154,28%
1N6AD0CU0DN130521,Car2Go,2,87km,22,87€,14.6.2019,4.39,11.29391131,48.3636289,61%
WA1LMAFE1ED339337,DriveNow,2,40km,27,48€,21.4.2019,17.49,11.78317257,48.10296786,36%
WBA5M6C52ED048083,DriveNow,4,42km,3,91€,5.9.2018,0.33,11.74687137,48.23133919,76%
KL4CJGSB0FB737157,DriveNow,4,68km,14,73€,5.6.2017,5.38,11.12357365,48.1423767,81%
JTDKDTB30E1876879,DriveNow,3,10km,6,31€,30.11.2019,2.44,11.47326930,48.23220769,58%
WBA3V9C57EP596813,Car2Go,4,74km,1,33€,7.7.2018,19.3,11.46760058,48.2435555,66%
5UXZV4C50D0089533,Car2Go,2,34km,17,35€,19.9.2019,10.3,11.8269736,48.11439391,94%
WVWED7AJ1AW400304,DriveNow,3,86km,0,25€,11.2.2019,14.58,11.52600575,48.11445832,22%
2C3CDXEJXCH778595,Car2Go,2,72km,15,59€,14.4.2019,9.49,11.20144273,48.9292985,66%
1N6AA0CAXCN276003,Car2Go,2,13km,6,54€,12.10.2017,5.0,11.39530475,48.8607945,54%
5LMJJ2J51EE854389,DriveNow,2,50km,16,38€,3.2.2018,14.19,11.7026989,48.22395045,99%
WAUSF98K39N901524,DriveNow,5,72km,21,33€,8.8.2019,12.8,11.13458447,48.25502744,87%
KMHTC6AD5CU664330,DriveNow,5,90km,23,76€,6.3.2019,21.27,11.23261646,48.10060793,84%
1FAHP3FN1AW615227,Car2Go,5,31km,27,80€,29.6.2019,18.37,11.42233869,48.2777801,30%
1C4NJCBA5FD581880,DriveNow,3,17km,5,93€,9.4.2019,3.36,11.7025589,48.7627193,11%
5N1AZ2MH0FN805963,DriveNow,2,70km,0,47€,14.9.2018,13.5,11.55074786,48.6461383,68%
1FBNE3BL1DD615978,DriveNow,4,62km,2,28€,4.1.2018,10.16,11.50671968,48.9616931,63%
1GKMCAE37AR633078,DriveNow,3,66km,26,99€,24.9.2019,17.8,11.3546105,48.6590631,36%
JH4CL96855C865704,DriveNow,5,9km,15,28€,15.6.2017,5.56,11.50649962,48.4188227,39%
JN1BJ0HP3FM874936,DriveNow,2,51km,22,78€,21.10.2018,18.35,11.59384518,48.25405986,87%
WBAWV13537P664672,Car2Go,2,19km,1,32€,19.5.2019,2.2,11.66059769,48.19083083,1%
WBAWL73549P160059,Car2Go,2,73km,0,95€,21.12.2017,4.6,11.47807261,48.7208881,5%
1N4AL2AP6AN404885,DriveNow,4,48km,28,63€,19.10.2019,8.26,11.39876943,48.11552540,87%
WAUBF98E67A722280,DriveNow,4,55km,22,75€,24.10.2017,5.21,11.60953325,48.893348,99%
2FMPK3K99FB763401,DriveNow,2,84km,29,93€,29.7.2017,6.45,11.43386552,48.19525657,12%
TRURD38J981598482,DriveNow,2,20km,24,61€,18.2.2019,5.12,11.16318014,48.27488060,55%
4T3BK3BB8FU480604,Car2Go,2,57km,10,76€,28.5.2019,7.4,11.55979654,48.3595493,32%
4JGBF2FE5AA293309,DriveNow,5,59km,28,59€,28.2.2018,4.15,11.73071587,48.25667030,64%
1GYS4JEF6BR608940,DriveNow,4,38km,29,72€,2.9.2018,14.9,11.35385943,48.16424937,42%
5UXZV4C59DL261833,Car2Go,5,70km,28,89€,16.10.2017,22.41,11.9222176,48.15236362,89%
5TDBK3EH5DS143158,DriveNow,2,64km,19,52€,4.7.2017,8.1,11.34496451,48.2263492,45%
YV140MEA2F1505755,DriveNow,2,18km,8,28€,15.2.2019,16.45,11.68646104,48.22454745,41%
WAUKF78EX5A767482,DriveNow,4,60km,11,47€,23.1.2019,9.28,11.43359857,48.6309686,52%
5UXFG2C59DL186939,Car2Go,5,54km,11,82€,21.8.2017,2.41,11.66598436,48.4749304,52%
WBADN53461G069358,Car2Go,3,57km,3,83€,7.1.2017,13.12,11.6173251,48.20207396,78%
1C4SDHCT4CC969529,DriveNow,2,43km,27,49€,27.4.2019,13.40,11.55618775,48.21509704,92%
3D7TP2CT1AG152902,Car2Go,4,48km,16,26€,14.11.2017,14.17,11.25723941,48.22650907,38%
WBAFA53501L391580,Car2Go,5,6km,15,49€,6.12.2019,18.29,11.69365093,48.10074148,74%
WAUMF78KX9N503854,Car2Go,5,16km,8,74€,20.8.2018,3.17,11.56790461,48.27362271,76%
2LMHJ5ATXEB103308,Car2Go,4,15km,19,55€,25.1.2017,20.28,11.19893639,48.24441387,79%
WAUSF78K29N080856,Car2Go,2,2km,5,88€,28.6.2019,23.43,11.17798589,48.6436294,29%
3GYFNEE33CS059689,Car2Go,2,68km,7,73€,3.8.2018,1.3,11.30242256,48.12134804,94%
1D7RV1GT9BS648397,Car2Go,2,67km,11,91€,7.11.2019,0.48,11.56762407,48.8097448,75%
5FRYD3H25GB791375,Car2Go,5,86km,9,54€,12.10.2018,12.17,11.42720968,48.2762153,86%
1G6DW67V080886629,Car2Go,4,72km,9,98€,16.11.2018,15.26,11.44270151,48.11578862,26%
5J6TF2H53FL760643,Car2Go,3,52km,12,88€,12.7.2017,20.20,11.7121322,48.17613917,10%
JTDZN3EU1EJ558169,DriveNow,2,17km,18,63€,15.5.2017,22.36,11.43100121,48.9922526,20%
3C63DPJLXCG639366,DriveNow,5,25km,13,80€,28.6.2019,1.46,11.49730301,48.25749625,61%
1N6AA0EC6FN691967,DriveNow,3,26km,24,96€,4.11.2019,11.49,11.15084291,48.10333049,96%
1D7RW5GK0BS970681,Car2Go,3,69km,2,43€,28.7.2019,21.40,11.14954900,48.17573926,88%
1G6AM5S34F0910615,Car2Go,5,29km,21,90€,2.12.2018,5.27,11.72880836,48.8974582,62%
1C3BCBGG5CN775002,DriveNow,4,19km,14,65€,10.5.2017,0.56,11.36061674,48.10117159,97%
SCFFDCCD9AG259689,DriveNow,4,2km,12,35€,26.6.2018,0.47,11.37677911,48.2830549,86%
5J8TB18249A431940,Car2Go,5,56km,2,72€,6.7.2018,10.13,11.17373960,48.12076140,31%
WAUWFBFL7BA286526,DriveNow,2,75km,20,58€,11.7.2018,14.26,11.54954554,48.14026739,42%
WBA3R1C53EK295426,DriveNow,5,53km,21,61€,28.5.2019,17.47,11.71247481,48.2151745,86%
WBAXH5C55DD159264,Car2Go,2,76km,18,46€,8.11.2019,0.10,11.54838701,48.17888423,41%
1C4AJWAG5FL474906,Car2Go,4,18km,26,74€,18.5.2018,22.30,11.44588777,48.6048335,10%
WBADT43462G257654,Car2Go,5,74km,0,69€,17.7.2017,7.7,11.7454284,48.18044793,1%
1FTEX1E84AF035142,DriveNow,2,4km,3,60€,20.7.2017,7.12,11.6627186,48.13801033,95%
1N6AA0CH7DN305486,Car2Go,3,67km,15,58€,11.10.2019,13.35,11.25818764,48.10170718,40%
1G6DM8EV0A0619601,DriveNow,4,46km,26,63€,12.2.2019,17.57,11.72271366,48.9167824,24%
WAUXG94F69N010512,DriveNow,5,78km,5,91€,8.2.2018,2.8,11.51036294,48.19768802,71%
1D7CW2BK2AS710163,Car2Go,3,76km,21,83€,15.10.2018,3.24,11.26409282,48.12629790,29%
JN1AZ4EHXFM325856,DriveNow,2,12km,1,78€,1.8.2019,8.57,11.3429305,48.20997737,52%
1YVHZ8BH3A5562421,Car2Go,5,41km,20,70€,12.10.2019,14.24,11.5302140,48.22566667,36%
JTDKDTB38C1934041,DriveNow,4,28km,21,79€,4.6.2018,17.16,11.25672471,48.13183791,98%
SCBLC37F96C279636,Car2Go,2,21km,17,62€,21.8.2018,14.25,11.5336984,48.8803632,44%
SCBLC37F94C301972,Car2Go,4,31km,9,62€,28.4.2019,10.3,11.72093973,48.14415443,51%
1N6AA0EJ7FN591679,Car2Go,3,54km,3,47€,28.3.2019,19.27,11.23643194,48.5873383,53%
WAUHF78P97A150508,Car2Go,2,76km,15,91€,7.2.2018,19.26,11.60762001,48.26286804,84%
1FTSW2A55AE625606,Car2Go,3,81km,5,54€,1.2.2018,4.15,11.28204251,48.27909306,71%
19UUA86229A349465,DriveNow,2,34km,2,35€,10.1.2018,2.30,11.16776929,48.3253670,50%
WBAVD33566K618534,DriveNow,4,12km,2,26€,3.1.2019,21.39,11.33717411,48.9683824,95%
WBADN53492G207928,DriveNow,2,1km,12,56€,21.7.2017,11.59,11.72476944,48.26520519,22%
19XFA1E31BE385255,Car2Go,5,11km,26,32€,21.4.2017,14.54,11.52376935,48.1924963,81%
WBAEU33495P877334,DriveNow,4,54km,5,77€,28.4.2019,19.1,11.79802942,48.9611768,44%
WBSDX9C55BE048648,Car2Go,2,60km,26,87€,10.10.2019,18.0,11.54126030,48.16473451,11%
3N1CE2CP3EL117801,Car2Go,3,57km,23,68€,1.12.2019,5.47,11.13380895,48.17147379,55%
WA1GFCFS7FR688097,Car2Go,5,9km,17,89€,18.12.2019,17.19,11.12107418,48.13427662,16%
19XFB2E51DE342963,Car2Go,3,55km,4,53€,23.11.2019,4.29,11.38491766,48.6128615,24%
5J8TB1H57CA079227,Car2Go,4,22km,15,44€,27.2.2018,4.21,11.20753717,48.18225532,44%
JHMZF1C62DS898489,Car2Go,5,60km,6,89€,15.11.2018,20.23,11.9863349,48.7248928,35%
JN8AE2KP4B9964597,DriveNow,2,10km,18,38€,11.9.2017,6.41,11.53494879,48.8949162,81%
3D7LT2ET3AG345836,DriveNow,2,73km,13,30€,3.3.2019,22.39,11.52290510,48.9580177,22%
2T1BU4EEXDC181872,DriveNow,4,54km,29,91€,7.2.2017,0.54,11.6866723,48.3111860,40%
3GYEK63N92G858036,DriveNow,4,4km,19,72€,10.2.2018,16.31,11.18071265,48.24042912,75%
WAUNF78P68A624984,DriveNow,4,43km,8,31€,7.5.2017,10.52,11.18973146,48.27954256,81%
WVWAA7AH8AV390347,Car2Go,5,45km,15,90€,20.12.2019,20.8,11.60332617,48.9411213,22%
WBSBR93492P009848,Car2Go,4,39km,7,94€,22.3.2018,3.15,11.48433606,48.8852440,69%
WAULD64B72N245459,DriveNow,4,18km,2,60€,15.1.2019,6.57,11.75310487,48.22600856,88%
1FADP5CU0FL203900,DriveNow,4,35km,16,40€,12.12.2018,21.52,11.59650905,48.7186469,50%
4T3BA3BB3DU749818,Car2Go,3,60km,8,37€,2.2.2017,2.37,11.31870974,48.18181891,11%
1GYS4DEF8BR908318,Car2Go,4,84km,3,84€,17.2.2019,8.51,11.6781021,48.13482160,60%
WAUDF78E38A383797,Car2Go,5,54km,7,51€,20.11.2017,22.33,11.49877735,48.3986386,61%
1FTWX3A5XAE235542,DriveNow,3,73km,24,91€,25.7.2018,20.13,11.8746055,48.5798924,23%
SCBGC3ZA6EC211098,DriveNow,3,80km,18,96€,13.10.2019,11.30,11.34881186,48.17040080,92%
JH4CL96814C889724,DriveNow,2,53km,18,91€,19.6.2018,13.44,11.75011733,48.24865320,88%
1GYFC53229R573934,Car2Go,3,57km,18,67€,26.12.2018,19.30,11.23304940,48.14734356,38%
1C4RDHEG6FC673706,DriveNow,3,89km,19,90€,29.7.2017,22.25,11.12901794,48.26668850,76%
WA1CGAFE8FD556909,DriveNow,5,39km,25,85€,2.1.2019,16.19,11.32860489,48.10615341,74%
3N1AB6AP5AL667859,DriveNow,3,18km,19,29€,3.1.2017,11.1,11.22059197,48.9611921,22%
JH4CU2F88CC769664,DriveNow,5,83km,4,42€,22.9.2019,17.39,11.34389894,48.17740842,7%
1C3CDZAB3CN465440,Car2Go,3,61km,8,67€,8.12.2019,12.40,11.38774252,48.6636683,58%
3N1AB6AP3BL845849,DriveNow,3,16km,7,45€,24.2.2019,14.50,11.33836484,48.26328496,80%
4F2CY0C70AK815447,DriveNow,5,23km,14,26€,29.11.2017,23.19,11.44817878,48.15205683,81%
1GYS3GEFXDR549870,Car2Go,5,21km,7,77€,7.5.2018,8.59,11.43321416,48.13106148,34%
1G4GB5GG9AF547917,Car2Go,2,51km,14,72€,30.6.2018,1.44,11.13597533,48.13809369,11%
WAUHGBFCXDN373631,Car2Go,2,83km,23,60€,8.3.2019,0.24,11.26203800,48.23996222,27%
WAUHF98P66A826200,Car2Go,4,10km,20,40€,27.5.2019,19.32,11.38686294,48.14065943,11%
WP0AB2A95FS636501,DriveNow,5,37km,20,75€,23.3.2017,16.50,11.33063923,48.26467070,11%
WUALNAFG2EN789161,DriveNow,3,17km,18,43€,21.10.2018,5.32,11.59926054,48.5826128,34%
3VWKX7AJXAM537832,DriveNow,4,73km,13,98€,24.10.2018,5.24,11.56107643,48.7642438,64%
WVWGD7AJ1EW980748,Car2Go,5,81km,13,87€,19.6.2019,11.12,11.61318210,48.13910753,68%
5TDBK3EH7CS938758,Car2Go,2,68km,23,28€,22.5.2017,13.6,11.30186461,48.18767933,11%
VNKJTUD39FA030356,Car2Go,5,39km,24,90€,8.6.2018,2.53,11.13586989,48.13174933,21%
WAULV44E27N051912,DriveNow,3,13km,4,70€,24.1.2018,12.23,11.36492503,48.2227174,3%
KMHGC4DD5EU788988,Car2Go,3,70km,17,27€,8.2.2019,7.5,11.4733982,48.3384116,14%
JH4CU4F4XCC722791,DriveNow,3,9km,10,49€,4.5.2018,21.21,11.75929655,48.22247647,89%
3C4PDDDG6DT094945,Car2Go,5,26km,23,54€,23.1.2019,0.45,11.28041788,48.24885272,86%
KNDJN2A21E7743752,DriveNow,3,63km,15,69€,13.3.2019,11.58,11.70570313,48.5432398,6%
WAUKG98E36A628692,Car2Go,2,31km,13,30€,17.1.2019,15.25,11.8116920,48.10137722,74%
JN1CV6FE0EM542383,Car2Go,2,8km,5,81€,9.11.2018,17.44,11.76007740,48.10078650,57%
SAJWA4HA0EM103481,DriveNow,4,34km,4,62€,5.3.2017,5.3,11.3403459,48.947675,15%
5FNYF3H35FB560821,DriveNow,3,16km,24,99€,29.1.2019,4.15,11.13321055,48.18629191,58%
1C3CCBHGXCN173912,DriveNow,3,77km,3,79€,25.8.2019,4.52,11.66562737,48.14496720,38%
WAUSH78E08A404784,Car2Go,5,18km,1,56€,22.6.2018,22.30,11.54229970,48.15846094,45%
JM1NC2LF2D0539766,DriveNow,4,8km,10,52€,4.3.2018,20.9,11.67358018,48.9878906,73%
SALVN2BG8DH465574,DriveNow,2,1km,1,52€,21.11.2019,5.11,11.63051630,48.27031351,9%
SCBFC7ZA8EC669017,Car2Go,4,79km,8,58€,30.4.2017,0.52,11.50250567,48.13823437,13%
1GYUKHEF9AR358728,DriveNow,3,80km,13,58€,13.9.2018,14.42,11.7909721,48.24925228,41%
JTHBE5C29A5298121,Car2Go,5,32km,22,69€,24.7.2017,3.20,11.55086277,48.12822756,87%
WVWED7AJ1DW867386,Car2Go,5,63km,24,30€,15.7.2018,22.54,11.51434428,48.4316840,24%
1N6AF0LY3EN701580,DriveNow,4,68km,10,69€,15.11.2017,20.17,11.14332284,48.7858808,19%
19VDE1F58FE985863,DriveNow,4,9km,25,31€,18.1.2019,6.46,11.60446587,48.9978354,12%
3VW117AU6FM449164,DriveNow,5,69km,24,64€,27.8.2017,10.13,11.60545183,48.20926701,78%
SCBET9ZA6FC790010,DriveNow,2,10km,3,51€,19.4.2019,8.12,11.58096826,48.15407451,85%
1G6KE54Y54U860775,Car2Go,5,52km,30,97€,23.5.2017,0.14,11.74664139,48.23291416,80%
1GYS4BKJ7FR145310,Car2Go,5,79km,28,68€,21.4.2017,11.6,11.68440897,48.14496457,64%
1HGCR6F57FA824932,Car2Go,3,42km,24,75€,18.11.2018,15.26,11.32757323,48.1845494,17%
KM8JT3AB7DU525340,Car2Go,2,82km,28,86€,5.8.2018,3.26,11.40582574,48.5857379,82%
WAUMFAFL0BN649324,Car2Go,2,79km,14,74€,17.12.2017,0.35,11.34570024,48.8565317,15%
WBA3A9C55DF537291,Car2Go,2,64km,9,38€,13.1.2018,0.30,11.27781592,48.22843297,74%
JN8AE2KP8F9768104,Car2Go,2,56km,8,69€,27.7.2019,0.42,11.78971827,48.8444007,66%
WAUGGAFC8CN901137,DriveNow,5,11km,23,55€,1.5.2019,12.2,11.6899953,48.17831391,23%
5FRYD3H47GB650227,Car2Go,3,66km,14,75€,26.2.2017,1.9,11.70790007,48.20615235,69%
KNAFK4A67E5705626,Car2Go,3,4km,19,88€,23.1.2019,1.24,11.42308667,48.5955172,62%
WAUEH78E28A862033,DriveNow,3,26km,2,43€,1.10.2017,20.13,11.65316423,48.20777866,4%
WBSDE93412B819623,DriveNow,5,78km,14,89€,1.1.2017,9.23,11.78072124,48.13957014,46%
1G6DU6EA7A0250821,DriveNow,4,47km,15,56€,29.8.2018,2.6,11.8819127,48.2264204,32%
KMHEC4A48BA299641,Car2Go,4,76km,6,85€,13.9.2017,20.5,11.4223995,48.10290420,18%
WBSDE93422C989659,DriveNow,4,72km,24,55€,15.11.2017,9.15,11.72353397,48.24684430,68%
3D7TT2CT1BG187176,Car2Go,4,85km,29,93€,20.7.2019,17.1,11.48184105,48.25819698,37%
WBS3U9C56FP349508,Car2Go,4,2km,15,55€,15.5.2017,22.13,11.29600334,48.17782900,63%
3C4PDDAGXFT637611,Car2Go,4,74km,9,48€,30.6.2018,7.17,11.35642415,48.10328726,86%
19XFB2F23CE695059,DriveNow,4,46km,8,71€,24.1.2018,15.41,11.44479291,48.776558,56%
1G4GC5ER6CF429392,DriveNow,3,31km,29,99€,29.11.2017,3.4,11.74864316,48.24383428,78%
JN1AY1AR8DM964380,DriveNow,2,89km,5,69€,1.6.2018,20.21,11.27541292,48.9819744,10%
WBA1J7C51FV630068,DriveNow,5,18km,12,41€,11.1.2017,17.12,11.3459349,48.11753226,7%
WBAPK5C52BF572665,Car2Go,2,76km,28,67€,3.8.2018,13.9,11.73981627,48.169759,54%
1G6D25EY4B0581466,DriveNow,5,78km,26,75€,28.11.2018,10.29,11.31415468,48.27475388,98%
JH4CW2H69DC283212,Car2Go,5,6km,26,90€,18.9.2019,15.11,11.73682991,48.25083624,6%
1N6AF0KY4EN330575,Car2Go,4,15km,25,71€,26.4.2019,18.22,11.64737154,48.27384644,21%
WBADS33493G526857,DriveNow,3,17km,15,68€,7.5.2018,3.28,11.55825034,48.21605896,34%
19VDE2E58EE880052,DriveNow,2,28km,21,32€,14.3.2017,23.13,11.56882725,48.27382342,97%
WAUDL74F56N027154,Car2Go,3,78km,25,56€,25.6.2017,21.26,11.3650902,48.16334082,16%
SAJWA1EK0EM770594,DriveNow,4,36km,11,35€,20.5.2017,5.51,11.51736220,48.2805077,49%
JHMZF1C67ES669663,Car2Go,2,89km,27,26€,17.5.2018,18.14,11.64644914,48.9549162,73%
1N6AF0LY3FN662409,Car2Go,4,90km,28,69€,1.6.2019,22.41,11.38215712,48.18435686,65%
2T1BURHEXFC892645,DriveNow,5,76km,8,45€,16.9.2017,20.54,11.68557585,48.7762123,24%
WBSPM9C51AE847105,DriveNow,2,40km,19,88€,23.10.2019,20.12,11.63134753,48.12912194,15%
JTEBW3EH7A2423022,DriveNow,3,55km,26,35€,29.4.2017,12.3,11.4820163,48.21527529,15%
1FTEX1CWXAF159577,DriveNow,3,58km,4,46€,28.5.2017,19.7,11.10153011,48.3438320,1%
WBXPC93409W397005,DriveNow,2,11km,15,91€,6.7.2018,2.15,11.14315956,48.27880766,53%
1GYUKFEJ1AR069514,DriveNow,5,67km,26,65€,24.11.2019,10.37,11.74328696,48.881527,82%
1LNHL9EK8FG766448,DriveNow,3,66km,5,84€,13.5.2018,6.37,11.63387281,48.9719624,7%
JH4KC1F96FC487822,DriveNow,4,28km,17,58€,11.7.2019,23.56,11.53941585,48.16522700,85%
JN1CV6EKXFM032048,Car2Go,2,27km,25,70€,21.6.2019,18.56,11.12626070,48.23720309,59%
WA1CGAFE8ED644387,DriveNow,4,14km,22,37€,8.7.2017,2.57,11.67080314,48.19454887,11%
YV1672MK2C2273733,DriveNow,4,79km,24,44€,3.4.2018,23.31,11.20142979,48.18300358,80%
1C3CDZAB3CN931268,DriveNow,4,70km,10,96€,26.10.2017,12.30,11.24094237,48.15048747,45%
2C3CCAGG9DH552910,Car2Go,5,54km,1,31€,29.3.2019,1.53,11.79857738,48.9452519,78%
1G6KY549X3U643382,Car2Go,4,21km,20,47€,12.6.2019,7.28,11.44342109,48.24848132,28%
WAUVC58E63A923556,Car2Go,2,37km,21,50€,27.9.2017,6.31,11.47468990,48.6149776,23%
4F2CY0C7XAK834622,DriveNow,3,54km,6,86€,3.4.2019,23.35,11.12137025,48.8705126,16%
3C63D3CL3CG430878,Car2Go,3,64km,1,57€,21.4.2017,14.37,11.36071087,48.24115992,14%
3C63D3HL0CG439160,DriveNow,4,25km,4,76€,17.7.2019,21.14,11.14051889,48.24035836,51%
WAU3VAFR0AA190143,Car2Go,4,83km,23,57€,25.10.2019,4.2,11.34408539,48.21590902,27%
1G4HJ5EM4AU345840,Car2Go,5,51km,28,71€,16.12.2018,19.17,11.5903492,48.12111787,31%
4USBT53464L138328,Car2Go,5,42km,25,88€,19.11.2019,12.3,11.57072352,48.13401540,100%
2C3CDXCT9CH574262,DriveNow,3,17km,24,40€,1.12.2017,15.33,11.43561908,48.26691162,60%
JH4CL95895C721560,Car2Go,3,65km,2,31€,14.12.2019,20.27,11.65299667,48.5871128,14%
KNADM4A35C6747260,DriveNow,3,2km,25,97€,5.5.2017,5.43,11.15993633,48.9366237,28%
WAUDFAFLXAN042166,Car2Go,2,50km,2,58€,8.6.2019,1.28,11.31344262,48.6121816,59%
WP0CA2A83BS138018,DriveNow,2,26km,14,95€,5.5.2017,10.10,11.28116728,48.16332025,7%
WAUFGBFC0EN414678,DriveNow,5,16km,14,36€,24.4.2019,22.7,11.68538047,48.2764848,55%
WAUVVAFR1AA290356,DriveNow,4,68km,24,67€,5.5.2017,2.41,11.73214566,48.21538652,26%
WBALL5C51DJ339033,DriveNow,2,59km,19,44€,2.7.2019,0.23,11.73047202,48.3493592,97%
1FTNX2A56AE976227,DriveNow,4,77km,0,85€,2.4.2017,6.29,11.70381767,48.22471134,3%
1G4GB5EG9AF159668,DriveNow,2,1km,23,83€,9.1.2019,10.5,11.60801523,48.15705198,35%
1N4AL2AP8BC283600,Car2Go,4,47km,26,75€,26.5.2019,2.51,11.45659238,48.7303029,89%
WAURFAFR4EA687046,Car2Go,5,68km,13,29€,14.1.2019,10.10,11.20182275,48.20454624,83%
JHMZE2H3XBS257501,DriveNow,3,39km,26,87€,25.7.2019,3.46,11.15327169,48.23072957,50%
1G6DB1ED4B0972266,Car2Go,5,84km,8,35€,25.6.2017,7.49,11.54295385,48.4797909,13%
1N6AA0CJ9DN466618,DriveNow,4,14km,7,25€,26.4.2018,22.23,11.38024916,48.13434773,100%
5J8TB3H55EL180009,Car2Go,3,41km,2,40€,7.2.2018,1.18,11.71102720,48.16164187,41%
WBSVA93578E429660,DriveNow,3,9km,7,99€,5.6.2018,17.24,11.67487548,48.9933475,87%
1G6DJ8EV6A0576990,Car2Go,5,87km,17,79€,24.5.2017,23.12,11.71068305,48.7141805,18%
5NPDH4AE0CH394361,DriveNow,2,13km,8,36€,6.2.2017,1.49,11.76016278,48.2624152,94%
WAUED64B01N235878,Car2Go,3,40km,22,68€,29.11.2019,0.31,11.61009518,48.4139383,19%
2G61S5S33E9877097,DriveNow,3,25km,15,87€,17.2.2018,23.2,11.52078198,48.5247275,3%
WP0AA2A94CS764565,Car2Go,2,76km,14,84€,20.2.2018,3.51,11.53057647,48.1116473,20%
3D73M4HL3BG353991,Car2Go,4,27km,2,44€,23.11.2018,1.22,11.57618556,48.12159510,85%
JA32X2HU2DU235942,DriveNow,2,68km,27,84€,7.2.2017,22.33,11.3647931,48.6692033,58%
1VWAH7A33DC220118,DriveNow,3,50km,11,94€,9.2.2018,0.24,11.47133735,48.21975601,72%
SALAC2D44AA285004,DriveNow,2,40km,16,86€,29.5.2019,21.53,11.74401597,48.20539653,69%
WAULF98K69N904566,DriveNow,2,61km,14,57€,11.12.2017,17.27,11.66488780,48.4154551,47%
1G6AP5SX5F0544884,Car2Go,3,31km,26,27€,9.11.2017,6.25,11.64941698,48.18033772,3%
